,# Nodes,# Cambios,Tiempo,Iteraciones
0,20,10,0.06390571594238281,207
1,40,10,0.09642148017883301,370
2,60,10,0.17926383018493652,608
3,80,10,0.28965139389038086,693
4,100,10,0.4859640598297119,1088
5,120,10,0.6800477504730225,1375
6,140,10,0.9761016368865967,1432
7,160,10,1.377110242843628,1682
8,180,10,1.8891386985778809,2189
9,200,10,2.3896255493164062,2141
10,220,10,3.115957498550415,2075
11,240,10,3.861670732498169,2619
12,260,10,5.001689910888672,2382
13,280,10,5.910072326660156,3407
14,300,10,7.159126043319702,3759
15,320,10,8.313804149627686,3891
16,340,10,9.929663896560669,3474
17,360,10,11.323189496994019,4470
18,380,10,13.240049600601196,4133
19,400,10,15.06104302406311,4859
20,420,10,17.638618230819702,5296
21,440,10,20.022454738616943,4561
22,460,10,21.997901439666748,4811
23,480,10,25.043572902679443,5512
24,500,10,29.02261209487915,5688
25,520,10,32.12517309188843,6424
26,540,10,37.353020906448364,6123
27,560,10,40.349233865737915,6017
28,580,10,44.012723445892334,6210
29,600,10,47.48314929008484,8963
30,620,10,52.88881540298462,8498
31,640,10,57.82316875457764,9678
32,660,10,64.02039313316345,8467
33,680,10,68.47839403152466,9335
34,700,10,75.07011985778809,8829
35,20,20,0.05823254585266113,303
36,40,20,0.13030242919921875,480
37,60,20,0.2972691059112549,898
38,80,20,0.5435266494750977,1163
39,100,20,0.8407816886901855,1603
40,120,20,1.3218631744384766,1756
41,140,20,1.848296880722046,2188
42,160,20,2.5798745155334473,2761
43,180,20,3.3650472164154053,3282
44,200,20,4.49561619758606,2908
45,220,20,5.730917692184448,3771
46,240,20,7.066247940063477,4497
47,260,20,8.902483463287354,4253
48,280,20,10.73520016670227,4523
49,300,20,13.368231058120728,5081
50,320,20,15.783400535583496,6400
51,340,20,18.184340000152588,6016
52,360,20,21.6939640045166,5962
53,380,20,25.238425731658936,6035
54,400,20,28.63844132423401,6786
55,420,20,33.20620560646057,6825
56,440,20,37.58813500404358,7564
57,460,20,42.6791090965271,7456
58,480,20,47.812363386154175,8793
59,500,20,53.20124936103821,9354
60,520,20,60.379629373550415,8479
61,540,20,66.8318121433258,9801
62,560,20,73.9376151561737,9054
63,580,20,82.20531010627747,9576
64,600,20,91.8695752620697,10983
65,620,20,99.75994324684143,9487
66,640,20,108.82167768478394,13688
67,660,20,120.83272457122803,11816
68,680,20,132.33669638633728,11842
69,700,20,144.0178668498993,11703
70,20,30,0.10454773902893066,488
71,40,30,0.18583083152770996,841
72,60,30,0.3880636692047119,1336
73,80,30,0.7390244007110596,1675
74,100,30,1.167344570159912,2178
75,120,30,1.7740790843963623,2436
76,140,30,2.6727120876312256,2954
77,160,30,3.767380714416504,3231
78,180,30,5.1357316970825195,3595
79,200,30,6.587940216064453,4024
80,220,30,8.309356927871704,4462
81,240,30,10.51125955581665,4985
82,260,30,13.031767845153809,5664
83,280,30,16.117040395736694,5927
84,300,30,19.311081647872925,6137
85,320,30,22.88670301437378,6864
86,340,30,27.745495557785034,6386
87,360,30,32.004417181015015,7691
88,380,30,36.9182026386261,7931
89,400,30,42.53700542449951,9443
90,420,30,49.249823570251465,7516
91,440,30,55.447283029556274,9349
92,460,30,62.88043451309204,9716
93,480,30,71.12722682952881,10864
94,500,30,79.98197531700134,10597
95,520,30,88.69670152664185,11271
96,540,30,98.65104413032532,11642
97,560,30,111.136892080307,13008
98,580,30,122.08445382118225,13202
99,600,30,135.2906584739685,12835
100,620,30,148.9953384399414,12706
101,640,30,162.20497465133667,15124
102,660,30,178.8909285068512,15501
103,680,30,197.88522696495056,13935
104,700,30,212.99441528320312,15309
105,20,40,0.08390522003173828,603
106,40,40,0.23325324058532715,1026
107,60,40,0.5379714965820312,1595
108,80,40,1.0155105590820312,2008
109,100,40,1.6009411811828613,2444
110,120,40,2.4605491161346436,2867
111,140,40,3.451742172241211,3387
112,160,40,4.7607340812683105,4465
113,180,40,6.8937366008758545,4805
114,200,40,8.908520460128784,5379
115,220,40,11.277698278427124,5406
116,240,40,13.993301630020142,5960
117,260,40,17.719107151031494,6226
118,280,40,21.327491760253906,6943
119,300,40,25.579551219940186,7427
120,320,40,30.53483772277832,9446
121,340,40,36.127177238464355,8252
122,360,40,42.688819885253906,8887
123,380,40,49.058539152145386,9716
124,400,40,56.67897963523865,9739
125,420,40,65.65120792388916,12682
126,440,40,74.79419922828674,11386
127,460,40,83.96398186683655,14104
128,480,40,94.6713318824768,12703
129,500,40,106.74681520462036,12920
130,520,40,120.77565002441406,14112
131,540,40,133.92198300361633,15360
132,560,40,149.47046542167664,14714
133,580,40,166.3047022819519,14481
134,600,40,182.50188851356506,17221
135,620,40,200.51267886161804,17898
136,640,40,217.6977834701538,15696
137,660,40,237.05664658546448,18552
138,680,40,258.2043900489807,17915
139,700,40,278.6707434654236,16175
140,20,50,0.11205530166625977,656
141,40,50,0.2933015823364258,1196
142,60,50,0.6430597305297852,2020
143,80,50,1.1568613052368164,2262
144,100,50,2.0136852264404297,3084
145,120,50,3.0396084785461426,3320
146,140,50,4.385815858840942,3837
147,160,50,6.439558982849121,5252
148,180,50,8.265543699264526,5715
149,200,50,10.89468789100647,5531
150,220,50,13.907304286956787,6729
151,240,50,17.959782361984253,6861
152,260,50,21.929250955581665,7728
153,280,50,26.735981464385986,9099
154,300,50,32.17868423461914,7960
155,320,50,37.99417448043823,9621
156,340,50,44.95977807044983,10472
157,360,50,53.12512946128845,10536
158,380,50,62.0159432888031,11549
159,400,50,70.72192692756653,12125
160,420,50,82.12120532989502,11634
161,440,50,92.02951288223267,14895
162,460,50,108.38137435913086,15881
163,480,50,121.10170388221741,13758
164,500,50,135.01433777809143,15442
165,520,50,149.11269521713257,16134
166,540,50,163.62444257736206,16385
167,560,50,179.77386116981506,19387
168,580,50,199.14562606811523,16478
169,600,50,218.7525999546051,20396
170,620,50,240.4774432182312,20052
171,640,50,265.60801124572754,17129
172,660,50,289.02438735961914,21288
173,680,50,316.03067088127136,22676
174,700,50,345.0577087402344,20898
175,20,60,0.10846424102783203,738
176,40,60,0.3245711326599121,1378
177,60,60,0.7429656982421875,2098
178,80,60,1.3662443161010742,2836
179,100,60,2.258617639541626,3806
180,120,60,3.5113351345062256,4193
181,140,60,5.079398155212402,5077
182,160,60,6.920713663101196,5390
183,180,60,9.733057260513306,6499
184,200,60,12.610045194625854,8091
185,220,60,16.381204843521118,8611
186,240,60,20.39004898071289,9292
187,260,60,25.494632482528687,8865
188,280,60,31.100398302078247,11280
189,300,60,37.5289306640625,11351
190,320,60,45.02703809738159,12129
191,340,60,52.89558243751526,12770
192,360,60,62.09453892707825,12614
193,380,60,72.08979368209839,13366
194,400,60,83.41247367858887,14404
195,420,60,95.35129237174988,14035
196,440,60,108.87100768089294,17296
197,460,60,123.98470044136047,17313
198,480,60,141.42101311683655,15348
199,500,60,160.43631744384766,19322
200,520,60,178.5257489681244,18171
201,540,60,195.22692203521729,18350
202,560,60,214.73893904685974,22100
203,580,60,240.9871587753296,21638
204,600,60,264.69354128837585,20231
205,620,60,296.11905574798584,22758
206,640,60,324.5483591556549,25707
207,660,60,355.8135998249054,22023
208,680,60,381.5801968574524,23066
209,700,60,413.5362470149994,27903
210,20,70,0.12262845039367676,919
211,40,70,0.3763618469238281,1682
212,60,70,0.9418532848358154,2280
213,80,70,1.5689098834991455,3236
214,100,70,2.573784828186035,4101
215,120,70,4.049797296524048,4560
216,140,70,6.120833396911621,5578
217,160,70,8.505155324935913,6598
218,180,70,11.690840244293213,7020
219,200,70,14.936071157455444,7449
220,220,70,18.95818829536438,8400
221,240,70,23.8260977268219,9327
222,260,70,30.000834941864014,10584
223,280,70,36.71214699745178,11202
224,300,70,43.326987743377686,13023
225,320,70,53.152381896972656,12508
226,340,70,62.12748336791992,13220
227,360,70,73.18623757362366,13944
