,# Nodes,# Cambios,Tiempo,Iteraciones
0,20,10,0.04635024070739746,183
1,40,10,0.06638455390930176,328
2,60,10,0.10490059852600098,593
3,80,10,0.1660146713256836,838
4,100,10,0.26480555534362793,1230
5,120,10,0.43421292304992676,1398
6,140,10,0.4972553253173828,1554
7,160,10,0.6649231910705566,1899
8,180,10,1.0236849784851074,2037
9,200,10,1.3336811065673828,2692
10,220,10,1.6809337139129639,2543
11,240,10,1.8173115253448486,2707
12,260,10,2.2237119674682617,3608
13,280,10,2.7253713607788086,2976
14,300,10,3.6216394901275635,3244
15,320,10,4.612409591674805,4076
16,340,10,4.836151599884033,4222
17,360,10,5.7067201137542725,5038
18,380,10,7.7834577560424805,4574
19,400,10,12.439783334732056,5176
20,420,10,10.94243597984314,5612
21,440,10,10.18294095993042,4932
22,460,10,11.907146453857422,4346
23,480,10,12.922455787658691,4919
24,500,10,14.829777479171753,5999
