,Origen,Destino,Remitir paquete a,Peso
0,46,64,94,19
1,46,100,94,19
2,46,94,94,10
3,46,22,21,30
4,46,19,94,25
5,46,23,21,43
6,46,32,21,40
7,46,54,94,26
8,46,82,21,54
9,46,20,21,54
10,46,104,94,30
11,46,65,94,32
12,46,36,94,22
13,46,105,94,37
14,46,42,80,11
15,46,63,21,47
16,46,77,21,60
17,46,112,21,34
18,46,103,21,32
19,46,18,94,37
20,46,110,94,22
21,46,25,21,44
22,46,24,21,35
23,46,37,21,34
24,46,33,94,25
25,46,85,94,28
26,46,74,21,33
27,46,55,40,42
28,46,91,94,18
29,46,45,21,36
30,46,21,21,2
31,46,60,94,34
32,46,96,94,25
33,46,51,21,45
34,46,29,94,33
35,46,75,94,33
36,46,34,94,40
37,46,57,94,23
38,46,88,94,30
39,46,48,67,15
40,46,95,21,18
41,46,47,21,78
42,46,70,94,41
43,46,72,67,25
44,46,73,94,24
45,46,98,21,60
46,46,62,40,15
47,46,102,94,31
48,46,59,21,56
49,46,81,21,45
50,46,106,21,25
51,46,76,21,41
52,46,79,21,56
53,46,27,21,28
54,46,99,94,34
55,46,41,21,17
56,46,49,67,29
57,46,90,40,28
58,46,101,21,22
59,46,26,40,14
60,46,86,40,25
61,46,61,21,44
62,46,28,94,23
63,46,80,80,6
64,46,52,21,40
65,46,16,67,18
66,46,83,80,16
67,46,108,94,48
68,46,35,40,19
69,46,43,94,42
70,46,93,40,36
71,46,44,21,26
72,46,17,21,29
73,46,38,21,23
74,46,67,67,12
75,46,40,40,7
76,46,115,94,14
77,46,113,94,45
78,46,68,21,46
79,46,87,94,21
80,46,84,21,27
81,46,31,94,35
82,46,30,94,26
83,46,97,94,35
84,46,111,94,56
85,46,39,94,37
86,46,114,21,37
87,46,92,94,39
88,46,53,21,65
89,46,69,40,34
90,46,109,21,31
91,46,50,94,41
92,46,15,80,6
93,46,56,21,50
94,46,71,21,38
95,46,107,94,37
96,46,58,94,37
97,46,66,21,36
98,46,78,80,20
99,46,89,94,34
